ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAIizQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.ChipPerformence	chipperformence	1591024169011	 	3.3.1
REQUEST	634		Home	1591024171027	1591024171732	OK	 
REQUEST	1		Home	1591024171042	1591024171733	OK	 
REQUEST	428		Home	1591024171054	1591024171734	OK	 
REQUEST	10		Home	1591024171040	1591024171735	OK	 
REQUEST	17		Home	1591024171053	1591024171736	OK	 
REQUEST	423		Home	1591024171035	1591024171738	OK	 
REQUEST	2		Home	1591024171046	1591024171738	OK	 
REQUEST	217		Home	1591024171055	1591024171739	OK	 
REQUEST	422		Home	1591024171014	1591024171665	OK	 
REQUEST	415		Home	1591024171048	1591024171741	OK	 
REQUEST	641		Home	1591024171056	1591024171742	OK	 
REQUEST	6		Home	1591024171024	1591024171742	OK	 
REQUEST	15		Home	1591024171050	1591024171745	OK	 
REQUEST	630		Home	1591024171024	1591024171745	OK	 
REQUEST	639		Home	1591024171054	1591024171748	OK	 
REQUEST	14		Home	1591024171038	1591024171748	OK	 
REQUEST	426		Home	1591024171051	1591024171749	OK	 
REQUEST	215		Home	1591024171058	1591024171751	OK	 
REQUEST	206		Home	1591024171044	1591024171752	OK	 
REQUEST	18		Home	1591024171054	1591024171753	OK	 
USER	Create	73	START	1591024171698	1591024171698
REQUEST	431		Home	1591024171107	1591024171754	OK	 
REQUEST	25		Home	1591024171121	1591024171755	OK	 
REQUEST	218		Home	1591024171055	1591024171756	OK	 
REQUEST	23		Home	1591024171115	1591024171757	OK	 
REQUEST	433		Home	1591024171124	1591024171759	OK	 
USER	Show	493	START	1591024171759	1591024171759
USER	Delete	705	START	1591024171760	1591024171760
USER	Create	76	START	1591024171760	1591024171760
USER	Update	283	START	1591024171761	1591024171761
USER	Show	494	START	1591024171761	1591024171761
REQUEST	223		Home	1591024171120	1591024171761	OK	 
USER	Delete	706	START	1591024171761	1591024171761
USER	Create	77	START	1591024171761	1591024171761
USER	Update	284	START	1591024171762	1591024171762
USER	Show	495	START	1591024171762	1591024171762
USER	Delete	707	START	1591024171763	1591024171763
USER	Create	78	START	1591024171763	1591024171763
USER	Update	285	START	1591024171763	1591024171763
USER	Show	496	START	1591024171763	1591024171763
USER	Delete	708	START	1591024171764	1591024171764
USER	Create	79	START	1591024171764	1591024171764
USER	Update	286	START	1591024171764	1591024171764
USER	Show	497	START	1591024171764	1591024171764
USER	Delete	709	START	1591024171765	1591024171765
REQUEST	214		Home	1591024171050	1591024171765	OK	 
USER	Create	80	START	1591024171765	1591024171765
USER	Update	287	START	1591024171766	1591024171766
USER	Show	498	START	1591024171766	1591024171766
USER	Delete	710	START	1591024171766	1591024171766
USER	Create	81	START	1591024171767	1591024171767
USER	Update	288	START	1591024171767	1591024171767
USER	Delete	711	START	1591024171768	1591024171768
USER	Show	499	START	1591024171768	1591024171768
REQUEST	638		Home	1591024171053	1591024171768	OK	 
USER	Create	82	START	1591024171768	1591024171768
USER	Update	289	START	1591024171768	1591024171768
USER	Delete	712	START	1591024171769	1591024171769
REQUEST	411		Home	1591024171002	1591024171646	OK	 
REQUEST	430		Home	1591024171056	1591024171772	OK	 
REQUEST	22		Home	1591024171112	1591024171775	OK	 
REQUEST	222		Home	1591024171119	1591024171778	OK	 
REQUEST	629		Home	1591024171021	1591024171779	OK	 
REQUEST	646		Home	1591024171121	1591024171785	OK	 
REQUEST	419		Home	1591024171011	1591024171786	OK	 
REQUEST	627		Home	1591024171020	1591024171789	OK	 
REQUEST	213		Home	1591024171039	1591024171795	OK	 
REQUEST	13		Home	1591024171042	1591024171799	OK	 
REQUEST	205		Home	1591024171043	1591024171803	OK	 
REQUEST	5		Home	1591024171043	1591024171806	OK	 
REQUEST	635		Home	1591024171029	1591024171808	OK	 
REQUEST	11		Home	1591024171030	1591024171812	OK	 
REQUEST	211		Home	1591024171034	1591024171815	OK	 
REQUEST	637		Home	1591024171051	1591024171819	OK	 
REQUEST	429		Home	1591024171055	1591024171823	OK	 
REQUEST	427		Home	1591024171053	1591024171827	OK	 
REQUEST	19		Home	1591024171055	1591024171831	OK	 
REQUEST	219		Home	1591024171106	1591024171839	OK	 
REQUEST	21		Home	1591024171109	1591024171841	OK	 
REQUEST	221		Home	1591024171113	1591024171844	OK	 
REQUEST	645		Home	1591024171118	1591024171847	OK	 
REQUEST	643		Home	1591024171111	1591024171850	OK	 
REQUEST	632		Home	1591024171026	1591024171920	OK	 
REQUEST	8		Home	1591024171028	1591024171926	OK	 
REQUEST	20		Home	1591024171109	1591024171928	OK	 
REQUEST	220		Home	1591024171110	1591024171931	OK	 
REQUEST	644		Home	1591024171114	1591024171936	OK	 
REQUEST	436		Home	1591024171122	1591024171940	OK	 
REQUEST	424		Home	1591024171038	1591024171931	OK	 
REQUEST	28		Home	1591024171137	1591024171943	OK	 
REQUEST	228		Home	1591024171152	1591024171946	OK	 
REQUEST	652		Home	1591024171160	1591024171948	OK	 
REQUEST	208		Home	1591024171046	1591024171950	OK	 
REQUEST	444		Home	1591024171253	1591024171951	OK	 
REQUEST	236		Home	1591024171267	1591024171954	OK	 
REQUEST	642		Home	1591024171108	1591024171954	OK	 
REQUEST	660		Home	1591024171271	1591024171956	OK	 
REQUEST	434		Home	1591024171116	1591024171956	OK	 
REQUEST	26		Home	1591024171126	1591024171965	OK	 
REQUEST	226		Home	1591024171130	1591024171968	OK	 
REQUEST	650		Home	1591024171140	1591024171970	OK	 
REQUEST	216		Home	1591024171053	1591024171970	OK	 
REQUEST	442		Home	1591024171180	1591024171972	OK	 
REQUEST	640		Home	1591024171055	1591024171972	OK	 
REQUEST	16		Home	1591024171057	1591024171990	OK	 
REQUEST	234		Home	1591024171264	1591024171992	OK	 
USER	Create	83	START	1591024172003	1591024172003
